spindle speed (rpm),feed (mm/rev),doc (mm),length (mm),time (s),image (.jpg),Ra,Rz,Vib(Hz),cutting speed mm/min,Vb
1000,0.18,0.5,320,106.6666667,,2.062,5.663,,180,
1000,0.18,0.5,340,113.3333333,,1.953,5.525,,180,
1000,0.18,0.5,360,120,,2.08,5.884,,180,
1000,0.18,0.5,380,126.6666667,,2.334,6.602,,180,
1000,0.18,0.5,400,133.3333333,,2.031,5.746,,180,
1300,0.18,0.5,20,5.128205128,,1.196,3.384,,234,
1300,0.18,0.5,40,10.25641026,,1.094,3.094,,234,
1300,0.18,0.5,60,15.38461538,,1.03,2.914,,234,
1300,0.18,0.5,80,20.51282051,,0.981,2.776,,234,
1300,0.18,0.5,100,25.64102564,,0.874,2.472,,234,
1300,0.18,0.5,120,30.76923077,,1.177,3.328,,234,
1300,0.18,0.5,140,35.8974359,,1.406,3.978,,234,
1300,0.18,0.5,160,41.02564103,,1.089,3.08,,234,
1300,0.18,0.5,180,46.15384615,,1.436,4.061,,234,
1300,0.18,0.5,200,51.28205128,,0.977,2.762,,234,
1300,0.18,0.5,220,56.41025641,,0.937,2.652,,234,
1300,0.18,0.5,240,61.53846154,,0.913,2.555,,234,
1300,0.18,0.5,260,66.66666667,,0.893,2.527,,234,
1300,0.18,0.5,280,71.79487179,,0.977,2.762,,234,
1300,0.18,0.5,300,76.92307692,,0.986,2.79,,234,
1300,0.18,0.5,320,82.05128205,,0.864,2.445,,234,
1300,0.18,0.5,340,87.17948718,,0.898,2.541,,234,
1300,0.18,0.5,360,92.30769231,,1.064,3.011,,234,
1300,0.18,0.5,380,97.43589744,,0.952,2.693,,234,
1300,0.18,0.5,400,102.5641026,,0.913,2.583,,234,
1600,0.18,0.5,20,4.166666667,,1.23,3.48,,288,
1600,0.18,0.5,40,8.333333333,,1.162,3.287,,288,
1600,0.18,0.5,60,12.5,,1.27,3.591,,288,
1600,0.18,0.5,80,16.66666667,,1.869,3.702,,288,
1600,0.18,0.5,100,20.83333333,,1.26,3.564,,288,
1600,0.18,0.5,120,25,,1.006,2.845,,288,
1600,0.18,0.5,140,29.16666667,,0.859,2.431,,288,
1600,0.18,0.5,160,33.33333333,,0.942,2.666,,288,
1600,0.18,0.5,180,37.5,,1.138,3.218,,288,
1600,0.18,0.5,200,41.66666667,,0.923,2.61,,288,
1600,0.18,0.5,220,45.83333333,,1.099,3.107,,288,
1600,0.18,0.5,240,50,,1.856,5.249,,288,
1600,0.18,0.5,260,54.16666667,,1.533,4.337,,288,
1600,0.18,0.5,280,58.33333333,,2.197,6.216,,288,
1600,0.18,0.5,300,62.5,,1.66,4.696,,288,
1600,0.18,0.5,320,66.66666667,,1.807,5.111,,288,
1600,0.18,0.5,340,70.83333333,,1.494,4.226,,288,
1600,0.18,0.5,360,75,,1.68,4.751,,288,
1600,0.18,0.5,380,79.16666667,,3.438,9.724,,288,
1600,0.18,0.5,400,83.33333333,,1.406,3.978,,288,
